date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
2007-01-06;50.0;71.1;0.13;0.0;0.0;8.05;230;17.9;230;21.92;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-01-09;30.0;55.0;0.0;0.0;0.0;7.61;280;23.04;270;29.08;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-01-14;50.0;73.9;0.0;0.0;0.0;8.5;230;21.03;230;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-01-15;57.0;73.9;0.0;0.0;0.0;13.2;230;23.94;230;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-01-20;26.1;48.0;0.0;0.0;0.0;4.92;290;16.11;320;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-01-22;33.1;41.0;0.08;0.0;0.0;2.01;230;8.05;10;12.08;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No
2007-01-24;30.0;48.9;0.0;0.0;0.0;2.91;50;14.09;50;17.0;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-01-27;32.0;64.0;0.0;0.0;0.0;11.41;230;19.91;230;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-01-30;24.1;48.9;0.0;0.0;0.0;5.82;220;17.9;220;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-02-08;27.0;48.0;0.0;0.0;0.0;3.13;300;14.99;280;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-02-12;26.1;64.0;0.0;0.0;0.0;4.03;220;19.91;220;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-02-13;37.9;50.0;0.59;0.0;0.0;6.71;10;21.03;10;25.95;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-02-17;19.0;48.0;0.0;0.0;0.0;7.61;230;23.94;200;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-02-21;50.0;73.0;0.01;0.0;0.0;7.16;230;21.92;220;25.05;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-02-23;37.0;55.0;0.0;0.0;0.0;7.61;290;17.9;260;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-02-28;37.9;61.0;0.0;0.0;0.0;4.92;90;14.09;90;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-03-01;41.0;66.9;0.2;0.0;0.0;10.29;170;27.96;150;34.9;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-03-11;39.9;70.0;0.0;0.0;0.0;5.14;30;16.11;30;21.03;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-03-15;57.0;81.0;0.0;0.0;0.0;9.4;220;21.92;210;25.95;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-03-17;33.1;48.9;0.0;0.0;0.0;7.38;330;19.91;330;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-03-21;50.0;63.0;0.0;0.0;0.0;9.17;90;21.92;90;25.95;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-03-23;53.1;82.9;0.0;0.0;0.0;7.83;230;17.0;230;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-03-26;44.1;73.9;0.0;0.0;0.0;6.04;230;16.11;210;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-04-03;53.1;86.0;0.0;0.0;0.0;4.03;180;16.11;170;21.03;Yes;No;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No
2007-04-05;41.0;57.9;0.0;0.0;0.0;3.58;310;14.99;320;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-04-08;27.0;55.9;0.0;0.0;0.0;2.91;240;19.91;240;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-04-11;46.0;59.0;0.73;0.0;0.0;6.49;140;17.9;150;25.05;Yes;No;No;Yes;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No
2007-04-15;42.1;77.0;1.76;0.0;0.0;12.75;180;25.05;300;29.97;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2007-04-17;46.9;72.0;0.0;0.0;0.0;7.61;360;19.91;320;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-04-18;42.1;66.9;0.0;0.0;0.0;6.04;90;14.99;100;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-04-19;44.1;57.9;0.04;0.0;0.0;4.47;90;12.97;90;16.11;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-04-21;39.9;77.0;0.0;0.0;0.0;2.24;50;8.95;140;14.99;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-04-25;61.0;87.1;0.0;0.0;0.0;10.29;230;23.94;230;29.97;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-04-29;53.1;80.1;0.0;0.0;0.0;6.49;300;17.9;290;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-05-10;63.0;82.9;0.0;0.0;0.0;2.91;20;10.07;20;12.97;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-05-19;43.0;73.0;0.0;0.0;0.0;3.58;290;12.97;280;16.11;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-05-21;54.0;88.0;0.0;0.0;0.0;3.36;120;17.0;120;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-06-02;66.0;82.9;0.13;0.0;0.0;7.38;100;14.09;90;17.9;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-06-08;73.0;96.1;0.0;0.0;0.0;8.05;240;14.09;240;19.91;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-06-10;69.1;87.1;0.0;0.0;0.0;6.49;100;14.99;100;19.91;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-06-18;63.0;96.1;0.0;0.0;0.0;3.13;220;12.08;220;14.09;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-07-11;70.0;95.0;0.82;0.0;0.0;10.07;220;36.01;210;42.95;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No
2007-07-13;64.0;81.0;0.0;0.0;0.0;2.91;50;8.95;110;12.97;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-07-16;70.0;91.9;0.0;0.0;0.0;8.05;230;16.11;210;19.91;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-07-18;71.1;91.0;0.08;0.0;0.0;5.82;240;14.99;230;17.9;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2007-07-19;71.1;93.9;0.0;0.0;0.0;7.38;230;17.9;230;21.92;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-07-21;62.1;84.0;0.0;0.0;0.0;6.71;40;17.0;30;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-07-29;66.9;89.1;0.0;0.0;0.0;4.25;160;16.11;150;19.91;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No
2007-07-31;70.0;89.1;0.0;0.0;0.0;6.26;40;14.99;50;17.0;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-08-01;69.1;91.9;0.0;0.0;0.0;4.47;80;14.09;90;17.0;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-08-08;75.9;102.0;0.17;0.0;0.0;4.47;200;16.11;220;19.91;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-08-17;73.9;97.0;0.01;0.0;0.0;6.71;30;21.03;40;27.96;Yes;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No
2007-08-19;70.0;97.0;0.0;0.0;0.0;9.84;220;17.0;210;21.03;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-08-25;75.0;99.0;0.0;0.0;0.0;8.95;220;17.0;210;21.03;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-09-10;66.9;100.9;0.0;0.0;0.0;7.16;210;16.11;230;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-09-28;64.0;84.9;0.0;0.0;0.0;6.49;320;16.11;340;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-09-29;50.0;79.0;0.0;0.0;0.0;6.71;40;19.91;20;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-09-30;48.0;80.1;0.0;0.0;0.0;6.71;50;16.11;90;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-01;53.1;82.0;0.0;0.0;0.0;6.71;80;14.09;90;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-03;63.0;84.9;0.0;0.0;0.0;3.36;70;10.07;90;14.09;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-07;64.0;90.0;0.0;0.0;0.0;1.79;170;8.05;160;10.07;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-08;64.9;93.0;0.0;0.0;0.0;1.79;180;8.05;170;12.97;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-11;51.1;69.1;0.0;0.0;0.0;7.61;300;14.99;330;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-24;70.0;78.1;1.72;0.0;0.0;6.93;210;21.03;220;25.95;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2007-10-29;37.0;61.0;0.0;0.0;0.0;4.47;50;16.11;40;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-30;33.1;66.9;0.0;0.0;0.0;1.12;50;8.05;140;12.08;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-01;53.1;78.1;0.0;0.0;0.0;4.47;40;19.91;50;25.95;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-07;30.0;55.0;0.0;0.0;0.0;3.8;40;12.97;20;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-09;34.0;61.0;0.0;0.0;0.0;4.25;210;12.08;230;14.99;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-17;28.0;60.1;0.0;0.0;0.0;4.25;230;17.0;210;23.04;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-28;32.0;57.0;0.0;0.0;0.0;4.47;120;14.99;90;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-29;36.0;63.0;0.0;0.0;0.0;3.36;260;12.08;230;14.09;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-30;32.0;57.0;0.0;0.0;0.0;2.68;50;12.97;30;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-12-08;39.9;71.1;0.0;0.0;0.0;5.37;230;14.09;100;16.11;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-12-12;55.9;79.0;0.0;0.0;0.0;8.72;240;21.92;240;25.95;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-12-27;36.0;57.9;0.0;0.0;0.0;3.58;220;14.09;220;16.11;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-12-29;55.0;71.1;0.13;0.0;0.0;10.74;190;27.96;190;38.03;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
